Dates,Population,Population_growth,Net_migration,Urban_population_growth,Life_expectancy,Fertility_rate,Adolescent_fertility_rate,Children_Mortality_rate,Immunization,Population_density,Surface_area,Agricultural_land,Arable_land,Forest_area,GDP,GDP_growth,GDP_deflator,Gross_National_Income_per_capita,Gross_National_Income,Poverty_ratio,Agriculture_value_added ,Industry_value_added,HighTech_exports,Merchandise_trade,Trade_index,Tax_revenue,Imports_goods_services,Exports_of_goods_and_services,Military_expenditure,Domestic_credit_provided_financial_sector,Time_required_to_start_a_business,Foreign_direct_investment,Electric_power_consumption,Energy_use,CO2_emissions,MobilePhone_subscriptions (per 100 people)
1961,47240543,1.31870527066866,,2.48671204694097,70.1170731707317,2.87,25.899,27.0,,86.27369422494009,549086.015625,63.077325864675295,35.80572833327029,,67461644222.0352,4.9801118491384,3.2717768399815,1350,63977069303.2272,,9.07927129492861,30.6666666666667,,20.6146769180842,,,12.2639094042344,14.410635155096,6.304481388883821,,,,1550.3843806367804,1745.2009177794598,5.9527518343724415,0.0
1962,47904877,1.39648297585784,1417869.0,2.79543793263812,70.31463414634149,2.89,26.881,25.7,,87.48694336941391,549086.015625,62.8965257471095,35.6669322834219,,75607529809.9288,6.843469985235862,4.8962936113852304,1550,74257719231.573,,9.832003655150599,29.9862931852529,,19.5602211012294,,,11.9600745088391,13.1743577127192,6.141695390504968,,,,1654.21570751554,1861.0421439971494,6.23540868291969,0.0
1963,48582611,1.40483530095666,,3.29738161607056,70.51463414634149,2.89,26.8274,24.5,,88.72466444899271,549086.015625,62.7394670591232,35.5299624973872,,84759195105.8693,6.233679952091791,5.52601758936883,1700,82402900008.1591,,8.82841646549832,29.668934382543807,,19.9954706729234,,,12.231557826754901,12.927548045270695,5.64312630211287,,,,1751.16154214108,1983.4663476608896,6.87529321962543,0.0
1964,49230595,1.32496112959831,,3.15655742214327,70.66341463414629,2.87,26.7738,23.3,,89.90805418011101,549086.015625,62.2920324247433,34.8414610395864,,94007851047.3678,6.65209950760072,3.9939063520544895,1870,92046177890.002,,7.98671471980779,30.1674793300827,,20.4312722671664,,,12.9107483570066,13.0944809554095,5.40521991060177,,,,1896.8895257105896,2085.16070138904,7.013993127647551,0.0
1965,49818028,1.18616467302194,,2.95053428635719,70.8121951219512,2.84,26.7202,22.3,,90.98086181104021,549086.015625,62.0947959328534,34.3264546440961,,101537248148.427,4.86150769580638,3.00188347092367,2030,101291021766.593,,7.787024678757429,30.281856010049506,,20.2487268218511,,,12.385177043259802,13.569391013059098,5.23267819034556,,,,1988.33643114095,2109.85290304947,7.062750797763409,0.0
1966,50330262,1.02295998638396,,2.72888862240282,70.9609756097561,2.8,26.6666,21.4,,91.9163362294358,549086.015625,61.8117250417152,33.7183087941023,,110045852177.928,5.251837045660861,2.97187105485011,2200,110847017803.804,,7.5930263443846115,30.056986936469198,,20.755893609755894,,,12.989882404075999,13.593557578538102,5.107417052880121,,,,2095.69741560257,2122.91654670902,6.899140799227308,0.0
1967,50775794,0.881321854364254,491613.0,2.52692255328192,71.1609756097561,2.75,26.613000000000003,20.6,,92.72999519892359,549086.015625,61.415425794121596,33.0115446981635,,118972977486.207,4.92114891528463,3.04136783873186,2360,119950868247.422,,7.56602825395053,29.712435088503,,20.164242760740603,,,13.117426992015199,13.489307052320099,5.1135394635633,,,,2186.79002833516,2248.07791287321,7.32651893144202,0.0
1968,51175508,0.784131325899635,,2.04637134611699,71.30975609756099,2.69,26.9212,19.9,,93.459978412991,549086.015625,60.591780814099906,32.1038915827073,,129785441507.456,4.491308885790058,4.3992740864963205,2560,130916300563.677,,7.3226661752812685,29.3326372040171,,20.7434668228589,,,13.389228422550499,13.556094714535801,4.92496255867054,,,,2267.66679091881,2359.8828173821,7.51593183989498,0.0
1969,51561836,0.7520728216109408,,1.33410646827537,71.4585365853659,2.62,27.2294,19.1,,94.16551525964692,549086.015625,60.5826494950309,32.078323889314106,,141903068680.309,7.1094753448523615,7.395983654009019,2820,145298011912.731,,6.679956570492848,28.7934072584234,,22.948763760257396,,,14.6957264653009,14.2970293505153,4.3807865494612495,,,,2470.97485046886,2536.66486973039,8.01484064686913,0.0
1970,51957738,,,1.33933001423157,71.65853658536591,2.55,27.5376,18.2,,94.8885367560561,549086.015625,59.344442629277715,31.808036844872397,,148456359985.827,6.10867981285152,5.42473919931945,-1000000,157084523559.25,,6.627790418304191,29.04501264936589,,25.0780768190425,,,15.437795350761304,15.9811611958822,4.11745254943456,,,621212781.7017,2626.92344304904,2951.4771601488897,8.44942941896354,0.0
1971,52371342,0.792887595361065,,1.35984949349006,71.9073170731707,2.47,27.8458,17.4,,95.64388677449708,549086.015625,59.57820439744351,31.148755608092298,,165966615366.402,5.31671587251364,5.90038914724762,3250,170066998969.698,,6.06667998173933,29.5031100205433,,25.394866254850502,,,15.527276877425196,16.481682264323197,3.94784673021996,,,525655900.083,2751.8867093381,3027.81981412659,8.8299125311702,0.0
1972,52793138,0.802168682409369,543072.0,1.36176182059019,72.1073170731707,2.38,28.154,16.6,,96.41419754610071,549086.015625,59.3809679055536,31.095793957492297,,203494148244.473,4.51137408907431,6.804973238173702,3670,193630241838.925,,6.77628173586304,28.883549432221198,,26.265128732738198,,18.6753382737298,15.8473227808061,16.6231060727089,3.84571458925394,,,656666980.5374,2929.6421061388696,3170.7488954340997,9.105899937222901,0.0
1973,53207734,0.782254157619487,,1.3318120284873798,72.35609756097558,2.28,26.7144,16.0,,97.17135921824492,549086.015625,59.280523395794894,31.2218061606442,,264429876252.21,6.344580671888652,7.8595806573327005,4690,249514827294.588,,6.775119084097049,29.187999665728803,,28.138650993063894,,17.8442511053678,16.881250174099602,17.5247221371069,3.74263369659249,,,1125479246.6729,3162.7732915669703,3385.50993357469,9.70910781504057,0.0
1974,53592233,0.7200389138955219,,1.26384108358083,72.60487804878049,2.18,25.2748,15.4,,97.8735558283854,549086.015625,59.2476506471466,31.554186174754896,,285552373158.756,4.30091904761063,11.8324242654864,5790,310283207529.67,,5.41202768344581,28.752859810762896,,34.7316322056485,,18.873454397272198,21.7254868245712,20.6302807987887,3.67444283909163,,,1846644387.7063,3265.24927595385,3253.33137359662,9.31238237451311,0.0
1975,53931390,0.6308532308320369,,1.01003657348374,72.85365853658541,2.09,23.8352,15.0,,98.4929459846808,549086.015625,59.092418222974004,31.654630684513602,,360832186018.051,-0.959884686823102,13.7534001770505,6720,362370456745.747,,4.81312214892571,28.6489511438213,,29.6666994098594,,17.7218201624997,17.8585358408655,18.833200495175397,3.8062382697292,,,1563849883.25955,3254.5795685963208,3058.7369619066,8.286812040260779,0.0
1976,54220022,0.5337566656105189,,0.631068307142044,73.10243902439029,2.01,22.3956,14.4,,99.02006416178408,549086.015625,58.4787935815388,31.285725394127002,,372319038514.067,4.356758932559,10.749208748803301,7140,387112581103.349,,4.55922703329274,28.168972752483395,,32.4871917597171,,18.839990135167803,20.264698545918694,19.3351723328393,3.75742030047636,,,977422843.56405,3594.6130748526793,3247.7468747615003,9.325010841935839,0.0
1977,54467702,0.455765232029235,258429.0,0.552982142989554,73.35121951219509,1.94,20.956,13.9,,99.472393183185,549086.015625,58.2760782982075,31.5304447451756,,410279486493.715,3.4643119450146003,8.77515759486478,7810,425143609754.558,,4.315742470021871,28.112135642276698,,33.0913449171629,,18.2407944498833,20.4024028134951,20.2335670307392,3.84721941942832,,,1896159371.6527894,3690.7009588912,3172.81445066289,8.82830300055618,0.0
1978,54691851,0.410681995080665,,0.509173521938965,73.60243902439029,1.89,19.672,13.4,,99.8817483907834,549086.015625,58.369217752711,31.691155960789494,,506707848837.209,3.97854375109866,9.27909127535543,8830,482763119989.923,,4.17050327725428,28.0122771538804,,31.8051122298237,,18.2572364059547,19.195674311202897,20.2426745837098,3.7518817196533902,,,2471468400.48404,3932.76139072346,3369.33981261669,9.24925695054644,0.0
1979,54917118,0.41103810977632105,,0.508064037170036,73.85121951219509,1.87,18.388,12.8,,100.29314536132601,549086.015625,58.137282248359,31.7788166238517,,613953129818.07,3.54998914739832,10.310292086038599,10820,593992524964.814,,4.13349740086889,27.6288892795259,,33.830106878280304,,18.8316897062058,20.3176715803219,20.7159538936742,3.73748620877249,,,2588309412.6637893,4204.00793792566,3495.89681672662,9.63552810619086,0.0
1980,55161527,0.44406324519957496,,0.540996321496876,74.05121951219509,1.85,17.104,12.4,,100.73950067379101,549086.015625,57.932740701214,31.9084813546312,,701288419745.421,1.57874527724138,11.6869373497484,-1000000,721446920006.065,,3.6073665803395496,27.769882905018,,35.7764356198951,,19.2919191523624,22.520087655222802,20.9825796312283,3.75630776834631,,,3282773277.870311,4421.97693330716,3476.5217612630604,9.1615291578132,0.0
1981,55430296,0.4860567840380999,,0.581533820429901,74.3,1.85,15.82,11.9,,101.230343772761,549086.015625,57.8688214677311,32.0070996005761,,615552202776.101,1.0690198298218,11.691972470868098,13190,731093492168.785,,3.5316725001715694,27.067658852711396,,36.9387030010687,,19.3675732164903,23.4410816004392,21.969861858682105,3.86455802827196,,,2469631624.9973,4580.56366864792,3379.16508690482,8.20310730435212,0.0
1982,55718933,0.5193695924225321,291570.0,0.618840629301923,74.5,1.86,14.536,11.5,,101.75747108118401,549086.015625,57.7939446513655,32.2353825773005,,584877732308.614,2.50539658239308,12.0947650152304,12040,670840063787.473,,4.05263580033072,26.4465715226736,,36.3166501760272,,19.6002125614414,23.853690086332694,21.3986951973501,3.83801738917463,,,1585298782.09975,4618.46604277221,3280.26204306533,7.841028003892322,0.0
1983,56023770,0.545606555114693,,0.64769850285173,74.8,1.86,13.5962,11.1,15.0,102.31418386339001,549086.015625,57.6460172824481,32.2682553259489,,559869179791.72,1.24086490360438,9.650344897062821,10450,585220179652.465,,3.5954755638635403,26.2427134318813,,35.8744519701404,,19.4442146496727,22.703501242098497,22.436327077747997,3.8538424303325898,,,1725670868.53761,4710.6255077086,3347.53284186337,7.54328769734704,0.0
1984,56337666,0.558726957866676,,0.660716206726615,75.0,1.86,12.6564,10.7,26.0,102.887440769485,549086.015625,57.541920245061796,32.5239322598802,,530683779929.445,1.51372157065492,7.067528987118652,9820,553014034704.886,,3.35898052416446,25.7783969562819,,38.050531717183105,,19.567413425590104,23.7063490940978,23.835480814109697,3.79459957612788,,,2397989218.95718,4944.667036792051,3448.50241044775,7.19488176879745,0.0
1985,56654696,0.5611544467476371,,0.6630396944912951,75.3,1.86,11.7166,10.4,35.0,103.46642118637199,549086.015625,57.4213868333513,32.732126334652904,,553138414367.061,1.62278135138969,5.453758573266112,9770,553525681595.943,,3.33764908821429,25.6386195391513,,37.9516219715477,,19.6514605775957,23.6921744937567,23.3242134965665,3.7428879868614304,,,2595492779.80055,5259.458103878979,3597.6452508014504,7.0758495818246,0.0
1986,56976123,0.5657406329272929,,0.667521620789193,75.6,1.85,10.7768,10.1,39.0,104.05343168524901,549086.015625,57.3355524341029,32.8690961206875,,771470783218.108,2.337276389968,5.055171593226549,11330,645340372299.039,,3.23460954878246,25.4599826171501,,32.9693626165609,,19.659769088959397,20.504520032015893,20.3834784359363,3.67363857118752,,,3255870956.36327,5510.04497094335,3632.92483063476,6.76799974613927,0.016302017
1987,57302663,0.571481199856986,276383.0,0.6731574375192221,75.8,1.83,9.837,9.8,45.0,104.64977987100599,549086.015625,57.2588493539235,33.177734705218896,,934173305685.911,2.56190031118551,2.4558610073786,14460,828766656517.522,,3.08814544214079,25.050614322947997,,32.848080557674606,,19.8706458386443,20.695387642044306,19.5973518165664,3.71493335287215,,,5139716801.656779,5651.901378475201,3702.2399465099897,6.587686526889678,100000.0
1988,57627105,0.56459325984309,,0.666168792785959,76.1,1.81,9.4772,9.6,51.0,105.24229655528099,549086.015625,56.303713379308604,32.5312373151354,,1018847043277.17,4.743142179250401,3.19340134813189,-1000000,1067258654191.17,,2.84939176299563,24.9812205811622,,34.0231639564858,,19.212449948706396,21.0254913722756,20.3667255718941,3.52770043165591,,,8489906284.29328,5738.06371151214,3665.56891934794,6.4589021780636005,100000.0
