Dates,US_10Y_Yield,US_3M_Yield,US_Rec,FR_10Y_Yield,FR_3M_Yield,FR_Rec
01/01/1970,7.79,7.87,1,8.74,10.35,0
01/02/1970,7.24,7.13,1,8.84,9.86,0
01/03/1970,7.07,6.63,1,8.76,9.55,0
01/04/1970,7.39,6.51,1,8.63,8.95,0
01/05/1970,7.91,6.84,1,8.62,9.02,0
01/06/1970,7.84,6.68,1,8.55,9.59,0
01/07/1970,7.46,6.45,1,8.46,9.1,0
01/08/1970,7.53,6.41,1,8.39,8.64,0
01/09/1970,7.39,6.12,1,8.48,8.28,0
01/10/1970,7.33,5.91,1,8.47,8.28,0
01/11/1970,6.84,5.28,1,8.41,7.96,0
01/12/1970,6.39,4.87,0,8.26,7.52,0
01/01/1971,6.24,4.44,0,8.33,6.67,0
01/02/1971,6.11,3.7,0,8.4,6.29,0
01/03/1971,5.7,3.38,0,8.42,6.17,0
01/04/1971,5.83,3.86,0,8.43,5.99,0
01/05/1971,6.39,4.14,0,8.46,6.53,0
01/06/1971,6.52,4.75,0,8.45,6.95,0
01/07/1971,6.73,5.4,0,8.48,6.29,0
01/08/1971,6.58,4.94,0,8.44,6.41,0
01/09/1971,6.14,4.69,0,8.46,6.41,0
01/10/1971,5.93,4.46,0,8.46,6.18,0
01/11/1971,5.81,4.22,0,8.45,5.87,0
01/12/1971,5.93,4.01,0,8.28,5.68,0
01/01/1972,5.95,3.38,0,8.41,5.39,0
01/02/1972,6.08,3.2,0,8.33,5.41,0
01/03/1972,6.07,3.73,0,8.07,4.97,0
01/04/1972,6.19,3.71,0,7.92,5.11,0
01/05/1972,6.13,3.69,0,7.9,5.42,0
01/06/1972,6.11,3.91,0,7.83,4.89,0
01/07/1972,6.11,3.98,0,7.8,4.85,0
01/08/1972,6.21,4.02,0,7.86,4.73,0
01/09/1972,6.55,4.66,0,7.83,4.78,0
01/10/1972,6.48,4.74,0,7.91,5.82,0
01/11/1972,6.28,4.78,0,8.02,6.81,0
01/12/1972,6.36,5.07,0,8.28,7.9,0
01/01/1973,6.46,5.41,0,8.33,7.72,0
01/02/1973,6.64,5.6,0,8.38,7.89,0
01/03/1973,6.71,6.09,0,8.53,7.8,0
01/04/1973,6.67,6.26,0,8.62,7.68,0
01/05/1973,6.85,6.36,0,8.69,7.84,0
01/06/1973,6.9,7.19,0,8.88,8.0,0
01/07/1973,7.13,8.01,0,9.15,8.94,0
01/08/1973,7.4,8.67,0,9.33,9.41,0
01/09/1973,7.09,8.29,0,9.42,10.37,0
01/10/1973,6.79,7.22,0,9.5,11.36,0
01/11/1973,6.73,7.83,1,9.5,11.18,0
01/12/1973,6.74,7.45,1,9.65,11.36,0
01/01/1974,6.99,7.77,1,10.21,13.43,0
01/02/1974,6.96,7.12,1,10.48,12.49,0
01/03/1974,7.21,7.96,1,10.69,12.33,0
01/04/1974,7.51,8.33,1,10.7,12.27,0
01/05/1974,7.58,8.23,1,10.8,12.78,0
01/06/1974,7.54,7.9,1,11.45,13.74,0
01/07/1974,7.81,7.55,1,11.4,14.13,1
01/08/1974,8.04,8.96,1,11.4,13.97,1
01/09/1974,8.04,8.06,1,11.38,13.92,1
01/10/1974,7.9,7.46,1,11.14,13.38,1
01/11/1974,7.68,7.47,1,11.17,12.26,1
01/12/1974,7.43,7.15,1,11.21,11.53,1
01/01/1975,7.5,6.26,1,10.9,11.03,1
01/02/1975,7.39,5.5,1,10.69,9.79,1
01/03/1975,7.73,5.49,1,10.34,8.94,1
01/04/1975,8.23,5.61,0,10.36,8.24,1
01/05/1975,8.06,5.23,0,10.31,7.58,1
01/06/1975,7.86,5.34,0,10.21,7.26,1
01/07/1975,8.06,6.13,0,10.2,7.33,0
01/08/1975,8.4,6.44,0,10.11,7.12,0
01/09/1975,8.43,6.42,0,10.1,7.05,0
01/10/1975,8.14,5.96,0,10.15,7.01,0
01/11/1975,8.05,5.48,0,10.19,6.98,0
01/12/1975,8.0,5.44,0,10.18,6.75,0
01/01/1976,7.74,4.87,0,10.16,6.41,0
01/02/1976,7.79,4.88,0,10.16,7.43,0
01/03/1976,7.73,5.0,0,10.29,7.84,0
01/04/1976,7.56,4.86,0,10.24,7.68,0
01/05/1976,7.9,5.2,0,10.19,7.8,0
01/06/1976,7.86,5.41,0,10.37,7.99,0
01/07/1976,7.83,5.23,0,10.51,8.48,0
01/08/1976,7.77,5.14,0,10.61,9.61,0
01/09/1976,7.59,5.08,0,10.66,9.59,0
01/10/1976,7.41,4.92,0,10.95,10.34,0
01/11/1976,7.29,4.75,0,10.94,10.54,0
01/12/1976,6.87,4.35,0,11.04,10.57,0
01/01/1977,7.21,4.62,0,10.66,10.02,0
01/02/1977,7.39,4.67,0,10.72,9.84,0
01/03/1977,7.46,4.6,0,10.88,9.96,0
01/04/1977,7.37,4.54,0,11.12,9.39,0
01/05/1977,7.46,4.96,0,11.19,9.14,0
01/06/1977,7.28,5.02,0,11.11,9.04,0
01/07/1977,7.33,5.19,0,11.07,8.72,0
01/08/1977,7.4,5.49,0,11.0,8.49,0
01/09/1977,7.34,5.81,0,10.97,8.38,0
01/10/1977,7.52,6.16,0,11.01,8.45,0
01/11/1977,7.58,6.1,0,11.1,9.31,0
01/12/1977,7.69,6.07,0,11.07,9.85,0
01/01/1978,7.96,6.44,0,11.25,9.26,0
01/02/1978,8.03,6.45,0,11.36,10.47,0
01/03/1978,8.04,6.29,0,11.07,9.91,0
01/04/1978,8.15,6.29,0,10.75,8.44,0
01/05/1978,8.35,6.41,0,10.76,8.24,0
01/06/1978,8.46,6.73,0,10.6,7.93,0
01/07/1978,8.64,7.01,0,10.49,7.63,0
01/08/1978,8.41,7.08,0,10.4,7.45,0
01/09/1978,8.42,7.85,0,10.37,7.4,0
01/10/1978,8.64,7.99,0,10.21,7.37,0
01/11/1978,8.81,8.64,0,10.14,7.11,0
01/12/1978,9.01,9.08,0,9.94,6.67,0
01/01/1979,9.1,9.35,0,9.68,6.57,0
01/02/1979,9.1,9.32,0,9.77,6.88,0
01/03/1979,9.12,9.48,0,9.65,7.1,0
01/04/1979,9.18,9.46,0,9.64,7.0,0
01/05/1979,9.25,9.61,0,9.96,7.61,0
01/06/1979,8.91,9.06,0,10.71,8.68,0
01/07/1979,8.95,9.24,0,11.25,9.94,0
01/08/1979,9.03,9.52,0,11.67,10.84,1
01/09/1979,9.33,10.26,0,11.56,11.69,1
01/10/1979,10.3,11.7,0,11.6,12.13,1
